"id","branch_name","branch_code","is_associate_degree","status","updated_at","created_at","created_by","updated_by"
"1","Branch 1","branch1","0","1","2019-06-25 22:16:45","2019-06-25 09:46:45","1","1"
"2","Branch 2","branch2","0","1","2019-06-25 22:17:24","2019-06-25 09:47:24","1","1"
"3","NEW TESTAMENT","NT001","0","1","2019-08-07 15:11:34","2019-08-07 02:41:34","1","1"
"4","OLD TESTAMENT","OT100","0","1","2019-08-07 15:18:19","2019-08-07 02:48:19","1","1"
"5","THEOLOGY","TH100","0","1","2019-08-07 15:18:57","2019-08-07 02:48:57","1","1"
"6","HISTORY","HS100","0","1","2019-08-07 15:19:27","2019-08-07 02:49:27","1","1"
"7","HERMENEUTICS","HM100","0","1","2019-08-14 15:24:59","2019-08-14 02:52:08","1","1"
"8","ETHICS","ET100","0","1","2019-08-14 15:24:24","2019-08-14 02:53:01","1","1"
"9","RELIGIONS","RL100","0","1","2019-08-14 15:23:59","2019-08-14 02:53:29","1","1"
"10","COMMUNICATION","CM100","0","1","2019-08-14 15:31:01","2019-08-14 03:01:01","1","1"
"11","PASTORAL THEOLOGY","PST100","0","1","2019-08-14 16:55:12","2019-08-14 04:25:12","1","1"
"12","EVANGELISM","EVG100","0","1","2019-08-14 16:58:44","2019-08-14 04:28:44","1","1"
"13","MISSIONS","MS100","0","1","2019-08-14 16:59:28","2019-08-14 04:29:28","1","1"
"14","APOLOGETIC","AP100","0","1","2019-08-14 17:12:14","2019-08-14 04:42:14","1","1"
"15","RESEARCH METHOD","RM100","0","1","2019-08-14 17:12:42","2019-08-14 04:42:42","1","1"
"16","LANGUAGES","LG100","0","1","2019-08-14 17:13:08","2019-08-14 04:43:08","1","1"
"17","Biblical Studies","BS100","0","1","2020-11-28 18:47:25","2020-11-28 06:17:25","1","1"
"18","Introduction to Bible","ITB001","1","1","2020-12-24 23:12:16","2020-12-21 17:22:49","1","1"
"19","Life and Ministry of Jesus Christ","LMJC001","1","1","2021-09-01 17:12:34","2021-09-01 04:42:34","1","1"
